Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories Per Serving (cal),Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,,,,,,,,,,,,,
Baked Salmon & Sweet Potato,2,25-30,1 salmon fillet; 1 medium potato; 1 tsp olive oil; 1/8 tsp salt,"Preheat oven to 400?°F (200?°C).
Rub salmon with oil and salt.
Slice potato, spread on baking sheet, drizzle olive oil, sprinkle salt.
Place salmon above potatoes.
Bake 20?min.
Remove, let rest 3?min.
Serve.",390,24,12,16,2,291,,,,,,,,,,,,,
Beef & Vegetable Soup,2,25-30,1 cup ground turkey; 1 cup chopped carrots; 1 cup chopped cabbage; 2 cups vegetable broth; 1/8 tsp salt,"Brown turkey in pot.
Add vegetables, broth, salt.
Simmer 20?min.
Stir, serve.",420,24,18,20,9,291,,,,,,,,,,,,,
Chicken-Rice Dumplings,2,15-20,"1 cup ground chicken; 1 cup cooked white rice; 1 cup chopped cabbage; 2 Tbsp soy sauce; 1/8 tsp salt, 1 Tbsp cornstarch","Mix chicken, rice, cabbage, cornstarch, salt.
Shape into small patties (~2?in diameter).
Heat 1?tsp oil in skillet, brown patties 3?min each side.
Add soy sauce, few minutes more.",335,21,22,12,5,291,,,,,,,,,,,,,
Chicken-Broccoli Tomato Pasta,2,20-25,"1 cup pasta (cooked); 4 oz chicken breast (cooked, skinless); 1 cup broccoli (raw) ; 1 cup canned tomatoes (plain), 1 tsp olive oil","Boil water in a large pot; add a pinch of salt.
Cook the pasta until “al dente” (about 8?10?min).
While pasta cooks, heat the olive oil in a skillet over medium heat.
Add the diced chicken pieces; cook 5?min, flipping until lightly browned.
Add the broccoli florets to the skillet; sauté 3?min.
Pour in the canned tomatoes and stir.
Season with salt, pepper, and a pinch of garlic powder.
Let the sauce simmer for 5?min so the flavors mingle.
Drain the pasta and add it to the skillet, tossing to coat.
If the mixture looks dry, splash a splash of water.
Cook 1?2?min more, stirring constantly.
Remove from heat and let rest 1?min.
Divide evenly between two plates.
Optionally sprinkle a little grated cheese over each portion.
Serve warm.",549,31,41,18,5.6,106,,,,,,,,,,,,,
Shrimp & Collard-Green Skillet,2,25-30,"1 cup large shrimp, peeled and deveined; 2 cups collard greens, chopped; 1/2 cup onion, diced; 1 clove garlic, minced; 1 Tbsp olive oil; 2 Tbsp tomato paste; 1 cup low-sodium chicken broth; 1 Tbsp lemon juice","Heat ½?Tbsp oil in a large skillet over medium heat.
Add garlic, cook 30?s until fragrant.
Toss in onion; cook 2?min until softened.
Stir in tomato paste, broth, paprika, and a pinch of salt.
Bring to a gentle simmer (1?min).
Add the shrimp; cover and cook 3?min until pink.
Remove the lid, add collard greens, and stir.
Cover again; cook 5?min until greens are tender.
Finish with lemon juice, a drizzle of the remaining oil, and fresh pepper.
Taste; add more salt only if needed.
Divide the skillet’s contents into two bowls.
Sprinkle a pinch of smoked paprika on each serving for color.
Serve hot.",320,25,18,11,6,220,,,,,,,,,,,,,
Black-Bean & Corn Catfish Soup,2,30-35,"8 oz catfish fillets; 1 cup canned black beans, rinsed & drained; 1 cup frozen corn kernelts; 1/2 cup onion, diced; 1 clove garlic, minced; 1 Tbsp olive oil; 2 cups low-sodium vegetable broth; 1/2 tomato sauce; 1/4 tsp fresh thyme; 1/8 tsp salt; 1/4 tsp pepper; 2 lime wedges","Heat oil in a pot over medium heat.
Sauté garlic and onion until onion turns translucent (3?min).
Stir in tomato sauce, broth, thyme, and a pinch of salt.
Bring to a simmer; let cook 5?min so flavors blend.
Add corn kernels and black beans; simmer 3?min.
Season with pepper.
While soup cooks, grill or pan?sear catfish fillets on a hot skillet, 4?min per side, until flaky.
Break the fillets into bite?size pieces.
Add catfish to the soup, stir, and let heat through (2?min).
Taste; adjust salt or pepper as needed.
Ladle soup into two bowls.
Serve with a squeeze of fresh lime on top.
Garnish with a leaf of fresh thyme.
Check that soup stays warm; if it cools, keep over low heat.
Enjoy.",280,20,26,9,8,310,,,,,,,,,,,,,
Caribben-style Grilled Shrimp & Plaintain Skillet,2,25-30,"3/4 cup shimp, peeled and deveined; 1/2 cup plaintain, sliced into 1/2-inch rounds; 1 Tbsp olive oil; 1/4 cup cherry tomatoes, halved; 1 Tbsp fresh cilantro (chopped); 1 Tbsp lime juice (1-2 limes); 1/2 tsp all-spice; 1/2 tsp cumin; 1/2 tsp oregano; 1/8 tsp salt; 1/2 tsp pepper","Pat the shrimp dry and toss with ½?Tbsp olive oil, half of the all?spice, salt, and pepper.
Heat a grill pan or outdoor grill to medium?high.
Add shrimp and cook 2?min on each side until pink.
Set shrimp aside.
In the same pan, add the remaining olive oil.
Toss the plantain slices and cook 3?min on each side until golden and caramelized.
Add the cherry tomatoes and cook 1?min, stirring.
Stir in the cooked pasta; heat through, 2?min.
Return the shrimp to the pan, mix gently, and warm everything together.
Sprinkle chopped cilantro and squeeze lime juice over the mixture.
Taste and add more salt or all?spice if desired.
Divide into two bowls.
Serve hot, with extra lime wedges on the side.",480,18,31,9,3,250,,,,,,,,,,,,,
Latin-American Chicken & Black-Bean Tacos,2,25-30,"3 oz chicken breast, cooked and diced; 1/2 cup canned black beans, drained; 2 corn tortillas (large); 1/2 cup onion, diced; 1/2 cup bell pepper, diced; 1 tsp oili oil; 1 lime (~1 Tbsp of juice); 1 Tbsp fresh cilantro, chopped; 1/8 tsp salt, 1/4 tsp pepper; 1 tsp cumin; and 1/4 orgeano to taste","Heat the tsp of olive oil in a skillet over medium.
Add onion and bell pepper; sauté 3?min until tender.
Stir in the diced chicken. Cook 5?min, breaking the meat into pieces, until no pink remains.
Add the black beans and half the cumin, oregano, salt, and pepper. Cook 2?min, letting flavors mingle.
Warm the corn tortillas in a dry pan or microwave (15?s).
Spoon equal amounts of the chicken?bean mix onto each tortilla.
Drizzle with lime juice and sprinkle cilantro.
Add a pinch of salt or more lime if desired.
Fold the tortillas into taco shape.
Repeat for the second taco.
Serve immediately with extra lime wedges.
Enjoy the bright, protein?rich tacos.",360,18,38,9,7,320,,,,,,,,,,,,,
Greek-Inspired Beef Souvlaki with Tzatziki,2,25-30,6 oz lean beef; 1 cup chopped spinach; 1 cup chopped cucumber; 1 cup plain yogurt; 1 Tbsp olive oil; 1 Tbsp fresh lemon juice; 1 tsp dried oregano; 1 tsp dried dill; 1 tsp garlic powder; 1/8 tsp salt; 1/4 tsp pepper,"Combine oregano, dill, garlic powder, salt, pepper, and olive oil. Mix well.
Cut the beef into 1?inch cubes and toss them with the spice mixture. Let sit 5?min.
Skewer 3–4 cubes on each stick and grill or pan?fry on medium heat until browned on all sides, about 4?5?min per side.
Meanwhile, make the tzatziki: mash cucumber with a fork, stir into the yogurt, add lemon juice, a pinch of salt and pepper. Chill for 10?min.
When the beef is done, serve each stack with a scoop of tzatziki and a handful of fresh spinach.",198,13.6,6.5,13.9,1.5,290,,,,,,,,,,,,,
Italian Turkey Bolognese over Whole-Wheat Pasta,2,15-20,"6 oz fresh turkey; 1 cup no added salt tomato sauce; 1 cup chopped carrot; 1 cup chopped onion; 1 cup chopped bell pepper; 1 Tbsp olive oil; 1 cup whole-wheat pasta; 1/8 tsp salt; dried oregano, dried basil, garlic powder, and pepper to taste","Heat olive oil in a large pot on medium.
Add turkey, break apart, and brown for 3?min.
Add onion, carrot, bell pepper, garlic powder, oregano, basil, salt, and pepper; cook 2?min.
Pour in tomato sauce, stir, and bring to a gentle simmer. Cook 10?min, stirring occasionally.
Meanwhile, cook pasta in salted water until al dente; drain.
Mix the pasta into the sauce, stir, and let steam together 1?min.
Taste and add more pepper if needed.
Divide between two bowls and serve hot.",265,16,31,8.5,5,300,,,,,,,,,,,,,
Turkish-style Pork Kebabs with Yogurt-Cucumber Salad,2,25-30,6 oz lean pork loin; 1 Tbsp olive oil; 1 cup chopped tomato; 1 cup chopped cucumber; 1 cup chopped spinach; 1 cup plain yogurt; 1 tsp dried dill; 1 tsp ground cumin; 1 tsp paprika; 1 tsp garlic powder; 1/8 tsp salt; pepper to taste; 1 cup whole-wheat pasta,"Cut pork into 1?inch pieces; season with cumin, paprika, garlic powder, salt, pepper, and half the olive oil. Toss to coat.
Skewer 4 pieces on each stick and grill or pan?fry until browned on all sides, about 4?5?min per side.
Drain the remaining oil and toss the pork with chopped tomato, cucumber, and spinach; heat for 2?min.
Blend yogurt, dill, a squeeze of lemon, salt, and pepper to make a quick tzatziki?like sauce; chill 10?min.
Cook pasta in salted water until al dente; drain.
Plate each serving with 1 cup pasta, a portion of the veggie?pork mixture, and a spoonful of the yogurt sauce.",279,14.5,23.8,12.5,3,291,,,,,,,,,,,,,
Simple Chicken Adobo,2,30-45,6 oz lean chicken breast; 1 tsp olive oil; 1/2 cup diced onion; 1 clove minced garlic; 2 Tbsp low-sodium soy sauce; 1/4 cup distilled white vinegar; 1/4 cup water; 1 bay leaf; 1/4 tsp black pepper; 1 tsp sugar (optional),"Heat the olive oil in a non?stick skillet over medium heat.
Add garlic, cook 30?s until fragrant.
Add the chicken pieces, brown on all sides (??5?min).
Stir in the diced onion, cook 2?min more.
Pour in soy sauce, vinegar, water, slash the bay leaf, and sprinkle pepper.
Bring to a boil, then reduce to low; cover and simmer 15?min, or until chicken is cooked through.
Remove the bay leaf.
Taste; if the sauce is too thin, let it reduce uncovered for a minute.
Divide the chicken and sauce evenly between two plates.
Serve hot with a side of steamed brown rice or a green?leaf salad.
If desired, add a drizzle of extra olive oil on top.",119,16-17,4.7,4.2,0.8,1200,,,,,,,,,,,,,
Lean-Beef & Vegetable Skillet,2,20-25,8 oz lean beef; 1/2 cup dry brown rice; 1 cup raw and chopped broccoli; 1/2 cup chopped or matchstick carrots; 1/2 cup raw and chopped onions; 1/2 cup raw and chopped bell pepper; 1 Tbsp olive oil; 1 cup low-sodium chicken broth; salt and pepper to taste,"Slice the beef into thin strips.
Heat the tablespoon of olive oil in a large skillet over medium heat.
Add the beef, season with a pinch of salt and pepper, and cook until browned (about 3?min). Remove the beef and set aside.
In the same skillet, add the chopped onion and bell pepper; sauté 2?min.
Stir in the carrots and broccoli; cook another 3?min until the vegetables are tender but still crisp.
Return the beef to the skillet and pour in the broth.
Bring to a gentle simmer, then lower the heat and let it cook for 5?min to allow flavors to mingle.
While the mixture simmers, rinse the brown rice with cold water.
In a separate pot, bring 1?cup of water to a boil, add the rice, cover, and simmer for 18?min until cooked.
Fluff the rice with a fork.
Plate half of the rice on each of two plates, then distribute the beef?vegetable mixture evenly on top.
Garnish with a squeeze of lemon or a sprinkle of fresh herbs if desired.
",279,14,15,13,2,500,,,,,,,,,,,,,
Lentil & Veggie Stuffed Bell Peppers,2,45-50,2 caps of halved and seeded bell pepper; 1/2 cup cooked lentils; 1/2 cup diced tomatoes; 1/4 cup diced onions; 1/2 clove minced garlic; 1 tsp olive oil; 1/2 tsp balsamic vinegar; 1/2 tsp dried cumin; 1/2 tsp smoked paprika; salt and pepper to taste,"Pre?heat oven to 375?°F (190?°C).
Sauté onion and garlic in oil for 2?min.
Add tomato, lentils, cumin, smoked paprika; cook 3?min.
Season with balsamic vinegar, salt, and pepper.
Spoon the mixture into the pepper halves.
Place stuffed peppers on a baking sheet.
Cover with foil and bake 25?min.
Remove foil, bake 5?min more.
Let cool 2?min, then serve.",140,8,16,4,5,90,,,,,,,,,,,,,
